인코더,분류기,Accuracy,Precision,Recall,F1,AUC,파라미터(M),추론속도(ms/장),조합
custom_cnn,random_forest,0.9725893294175233,0.9581719597211464,0.9983857949959645,0.9778656126482214,0.996715373897261,4.287809,2.2840090095996857,custom_cnn + random_forest
custom_cnn,xgboost,0.9853157121879589,0.9771112865035517,0.9991928974979822,0.9880287310454908,0.9997891896449953,4.287809,2.2840090095996857,custom_cnn + xgboost
resnet50,random_forest,0.9921683798335781,0.9872509960159362,1.0,0.9935846030473136,0.9999718919526661,23.850113,2.930774043003718,resnet50 + random_forest
resnet50,xgboost,1.0,1.0,1.0,1.0,1.0,23.850113,2.930774043003718,resnet50 + xgboost
